"filename", "language", "JSON", "JavaScript", "Properties", "comment", "blank", "total"
"/media/advait/Common Volume/Webdev/Projects/MERN/chat-room/backend/.env", "Properties", 0, 0, 3, 0, 0, 3
"/media/advait/Common Volume/Webdev/Projects/MERN/chat-room/backend/controllers/adminController.js", "JavaScript", 0, 171, 0, 1, 34, 206
"/media/advait/Common Volume/Webdev/Projects/MERN/chat-room/backend/controllers/chatroomController.js", "JavaScript", 0, 51, 0, 3, 20, 74
"/media/advait/Common Volume/Webdev/Projects/MERN/chat-room/backend/controllers/userController.js", "JavaScript", 0, 28, 0, 4, 13, 45
"/media/advait/Common Volume/Webdev/Projects/MERN/chat-room/backend/models/adminModel.js", "JavaScript", 0, 47, 0, 2, 19, 68
"/media/advait/Common Volume/Webdev/Projects/MERN/chat-room/backend/models/chatroomModel.js", "JavaScript", 0, 139, 0, 3, 28, 170
"/media/advait/Common Volume/Webdev/Projects/MERN/chat-room/backend/models/dashboardModel.js", "JavaScript", 0, 79, 0, 0, 21, 100
"/media/advait/Common Volume/Webdev/Projects/MERN/chat-room/backend/models/userModel.js", "JavaScript", 0, 147, 0, 4, 44, 195
"/media/advait/Common Volume/Webdev/Projects/MERN/chat-room/backend/package-lock.json", "JSON", 3505, 0, 0, 0, 1, 3506
"/media/advait/Common Volume/Webdev/Projects/MERN/chat-room/backend/package.json", "JSON", 27, 0, 0, 0, 1, 28
"/media/advait/Common Volume/Webdev/Projects/MERN/chat-room/backend/routes/admin.js", "JavaScript", 0, 35, 0, 1, 7, 43
"/media/advait/Common Volume/Webdev/Projects/MERN/chat-room/backend/routes/chatroom.js", "JavaScript", 0, 6, 0, 0, 4, 10
"/media/advait/Common Volume/Webdev/Projects/MERN/chat-room/backend/routes/user.js", "JavaScript", 0, 6, 0, 2, 5, 13
"/media/advait/Common Volume/Webdev/Projects/MERN/chat-room/backend/server.js", "JavaScript", 0, 26, 0, 0, 8, 34
"/media/advait/Common Volume/Webdev/Projects/MERN/chat-room/backend/vercel.json", "JSON", 15, 0, 0, 0, 1, 16
"Total", "-", 3547, 735, 3, 20, 206, 4511
